brand_id,brand_name,category,description,url,is_flagship,scraped_at,category_clean,is_spirits,description_short,has_description,processed_at,data_source
1,Buffalo Trace,Bourbon Whiskey,"One of the most award-winning distilleries in the world, Buffalo Trace produces America's finest bourbon. Located in Frankfort, KY, the distillery has been making whiskey continuously since 1773.",https://www.buffalotracedistillery.com,True,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"One of the most award-winning distilleries in the world, Buffalo Trace produces America's finest bourbon. Located in Frankfort, KY, the distillery has been making whiskey continuously since 1773.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
2,Eagle Rare,Bourbon Whiskey,"Eagle Rare 10 Year Old Single Barrel Bourbon is an award-winning bourbon that offers a complex aroma of dry oak, with notes of toffee and hints of orange peel.",https://www.eaglerarewhiskey.com,True,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"Eagle Rare 10 Year Old Single Barrel Bourbon is an award-winning bourbon that offers a complex aroma of dry oak, with notes of toffee and hints of orange peel.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
3,Blanton'S,Bourbon Whiskey,"Blanton's is the original single barrel bourbon whiskey, introduced in 1984. Blanton's pioneered the single barrel revolution and is recognized worldwide.",https://www.blantonsbourbon.com,True,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"Blanton's is the original single barrel bourbon whiskey, introduced in 1984. Blanton's pioneered the single barrel revolution and is recognized worldwide.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
4,Pappy Van Winkle,Bourbon Whiskey,"Pappy Van Winkle's Family Reserve is one of the most sought-after and critically acclaimed bourbon whiskeys in the world, aged 15, 20, and 23 years.",https://www.oldripvanwinkle.com,True,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"Pappy Van Winkle's Family Reserve is one of the most sought-after and critically acclaimed bourbon whiskeys in the world, aged 15, 20, and 23 years.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
5,W.L. Weller,Bourbon Whiskey,"W.L. Weller is the original wheated bourbon, using wheat as the secondary grain instead of rye, producing a softer, more approachable spirit.",https://www.wlwellerbourbon.com,False,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"W.L. Weller is the original wheated bourbon, using wheat as the secondary grain instead of rye, producing a softer, more approachable spirit.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
6,Sazerac Rye,Rye Whiskey,"Sazerac Rye is the defining ingredient in the classic Sazerac cocktail. Produced at Buffalo Trace Distillery, it's America's oldest rye whiskey brand.",https://www.sazeracwhiskey.com,True,2026-03-31T23:59:05.891855,Rye Whiskey,True,"Sazerac Rye is the defining ingredient in the classic Sazerac cocktail. Produced at Buffalo Trace Distillery, it's America's oldest rye whiskey brand.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
7,Thomas H. Handy,Rye Whiskey,"Thomas H. Handy Sazerac is an uncut, unfiltered rye whiskey, part of the Buffalo Trace Antique Collection released annually.",https://www.buffalotracedistillery.com/brands/thomas-h-handy,False,2026-03-31T23:59:05.891855,Rye Whiskey,True,"Thomas H. Handy Sazerac is an uncut, unfiltered rye whiskey, part of the Buffalo Trace Antique Collection released annually.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
8,1792 Bourbon,Bourbon Whiskey,"1792 Bourbon is produced at Barton 1792 Distillery in Bardstown, KY. Known for its high rye content and distinctive spicy character.",https://www.1792bourbon.com,False,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"1792 Bourbon is produced at Barton 1792 Distillery in Bardstown, KY. Known for its high rye content and distinctive spicy character.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
9,Benchmark,Bourbon Whiskey,"Benchmark Bourbon is an accessible, everyday bourbon produced at Buffalo Trace. It delivers quality Kentucky straight bourbon at an outstanding value.",https://www.benchmarkbourbon.com,False,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"Benchmark Bourbon is an accessible, everyday bourbon produced at Buffalo Trace. It delivers quality Kentucky straight bourbon at an outstanding value.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
10,Ancient Age,Bourbon Whiskey,"Ancient Age is a value-priced Kentucky straight bourbon whiskey produced at Buffalo Trace Distillery, aged a minimum of 36 months.",https://www.sazerac.com/brands/ancient-age,False,2026-03-31T23:59:05.891855,Bourbon Whiskey,True,"Ancient Age is a value-priced Kentucky straight bourbon whiskey produced at Buffalo Trace Distillery, aged a minimum of 36 months.",True,2026-03-31T23:59:15.844186,sazerac.com (scraped/mock)
